Atomic name / mass:
Id.   Name      Mass
0     H         1.01
1     C         12.01
Molecular name / composition / boundary condition:
Id.   Molecule    H    C    |   Top           Bottom
0     H           1    0    |   0   0.00E+00  0   0.00E+00
1     H2          2    0    |   0   0.00E+00  0   0.00E+00
2     C           0    1    |   0   0.00E+00  0   0.00E+00
3     CH          1    1    |   0   0.00E+00  0   0.00E+00
4     (1)CH2      2    1    |   0   0.00E+00  0   0.00E+00
5     (3)CH2      2    1    |   0   0.00E+00  0   0.00E+00
6     CH3         3    1    |   0   0.00E+00  0   0.00E+00
7     CH4         4    1    |   0   0.00E+00  0   0.00E+00
8     C2          0    2    |   0   0.00E+00  0   0.00E+00
9     C2H         1    2    |   0   0.00E+00  0   0.00E+00
10    C2H2        2    2    |   0   0.00E+00  0   0.00E+00
11    C2H3        3    2    |   0   0.00E+00  0   0.00E+00
12    C2H4        4    2    |   0   0.00E+00  0   0.00E+00
13    C2H5        5    2    |   0   0.00E+00  0   0.00E+00
14    C2H6        6    2    |   0   0.00E+00  0   0.00E+00
15    M           0    0    |   0   0.00E+00  0   0.00E+00
Reaction list / rate:
Id.   Type Reaction                    ko_A      ko_n   ko_E      koo_A     koo_n  koo_E     kr_A      kr_n   kr_E
0     1    (3)CH2=CH+H                 0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
1     1    C2H2=C2+H2                  0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
2     1    C2H2=C2H+H                  0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
3     1    C2H2=C2H2                   0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
4     1    C2H3=C2H2+H                 0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
5     1    C2H4=C2H2+2H                0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
6     1    C2H4=C2H2+H2                0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
7     1    C2H4=C2H3+H                 0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
8     1    C2H4=C2H4                   0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
9     1    C2H5=CH3+(1)CH2             0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
10    1    C2H6=2CH3                   0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
11    1    C2H6=C2H2+2H2               0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
12    1    C2H6=C2H4+2H                0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
13    1    C2H6=C2H4+H2                0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
14    1    C2H6=C2H6                   0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
15    1    C2H6=CH4+(1)CH2             0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
16    1    CH3=(1)CH2+H                0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
17    1    CH3=CH+H2                   0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
18    1    CH4=(1)CH2+2H               0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
19    1    CH4=(1)CH2+H2               0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
20    1    CH4=(3)CH2+2H               0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
21    1    CH4=CH+H+H2                 0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
22    1    CH4=CH3+H                   0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
23    1    CH4=CH4                     0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
24    1    H2=2H                       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
25    1    H2=H2                       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
26    2    (1)CH2+C2H2=(3)CH2+C2H2     6.60E-11  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
27    2    (1)CH2+C2H4=(3)CH2+C2H4     1.80E-11  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
28    2    (1)CH2+C2H6=(3)CH2+C2H6     3.60E-11  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
29    2    (1)CH2+CH3=C2H4+H           7.00E-11  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
30    2    (1)CH2+CH4=(3)CH2+CH4       1.20E-11  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
31    2    (1)CH2+CH4=2CH3             5.90E-11  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
32    2    (1)CH2+H2=(3)CH2+H2         1.26E-11  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
33    2    (1)CH2+H2=CH3+H             9.24E-11  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
34    2    (3)CH2+C2H3=C2H2+CH3        8.00E-11  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
35    2    (3)CH2+C2H5=C2H4+CH3        8.00E-11  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
36    2    (3)CH2+C2H=C2H2+CH          3.00E-11  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
37    2    (3)CH2+CH3=C2H4+H           7.00E-11  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
38    2    (3)CH2+CH4=2CH3             7.10E-12  0.0    -5051.0   0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
39    2    2(3)CH2=C2H2+2H             1.80E-10  0.0    -400.0    0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
40    2    2C2H3=C2H4+C2H2             3.50E-11  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
41    2    2C2H5=C2H6+C2H4             2.40E-12  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
42    2    C2+CH4=C2H+CH3              5.05E-11  0.0    -297.0    0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
43    2    C2+H2=C2H+H                 1.77E-10  0.0    -1469.0   0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
44    2    C2H+C2H3=2C2H2              1.60E-12  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
45    2    C2H+C2H5=C2H2+C2H4          3.00E-12  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
